attraction_name,attraction_category,attraction_level,city,province,ticket_price,price_tier,item_idx,soup
798 Yi Shu Qu,Wen_Hua_Yi_Shu,4A,Beijing,Beijing,0.0,MidRange,0,Wen_Hua_Yi_Shu Wen_Hua_Yi_Shu Wen_Hua_Yi_Shu Beijing Beijing 4A Beijing MidRange
An Qing Zhen Feng Ta,Historical_Architecture,4A,An_Qing_Shi,Anhui,20.0,Premium,1,Historical_Architecture Historical_Architecture Historical_Architecture An_Qing_Shi An_Qing_Shi 4A Anhui Premium
An Yuan Lu Kuang Gong Ren Yun Dong Ji Nian Guan,Revolutionary_Site,4A,Ping_Xiang_Shi,Jiangxi,0.0,MidRange,2,Revolutionary_Site Revolutionary_Site Revolutionary_Site Ping_Xiang_Shi Ping_Xiang_Shi 4A Jiangxi MidRange
Ba Da Ling Chang Cheng,Historical_Culture,5A,Beijing,Beijing,40.0,Premium,3,Historical_Culture Historical_Culture Historical_Culture Beijing Beijing 5A Beijing Premium
Ba Li Gou,Natural_Scenery,4A,Xin_Xiang_Shi,Henan,80.0,Premium,4,Natural_Scenery Natural_Scenery Natural_Scenery Xin_Xiang_Shi Xin_Xiang_Shi 4A Henan Premium
Ba Li He,Natural_Scenery,5A,Fu_Yang_Shi,Anhui,90.0,Premium,5,Natural_Scenery Natural_Scenery Natural_Scenery Fu_Yang_Shi Fu_Yang_Shi 5A Anhui Premium
Bai Ma Si,Religious_Culture,4A,Luo_Yang_Shi,Henan,35.0,Premium,6,Religious_Culture Religious_Culture Religious_Culture Luo_Yang_Shi Luo_Yang_Shi 4A Henan Premium
Bai Se Qi Yi Ji Nian Guan,Revolutionary_Site,4A,Bai_Se_Shi,Guangxi,0.0,MidRange,7,Revolutionary_Site Revolutionary_Site Revolutionary_Site Bai_Se_Shi Bai_Se_Shi 4A Guangxi MidRange
Bai Shan Chang Bai Shan Da Xia Gu,Natural_Scenery,4A,Bai_Shan_Shi,Jilin,125.0,Premium,8,Natural_Scenery Natural_Scenery Natural_Scenery Bai_Shan_Shi Bai_Shan_Shi 4A Jilin Premium
Bai Shi Shan,Natural_Scenery,4A,Bao_Ding_Shi,Hebei,135.0,Premium,9,Natural_Scenery Natural_Scenery Natural_Scenery Bao_Ding_Shi Bao_Ding_Shi 4A Hebei Premium
Bai Shui Yang,Natural_Scenery,5A,Ning_De_Shi,Fujian,120.0,Premium,10,Natural_Scenery Natural_Scenery Natural_Scenery Ning_De_Shi Ning_De_Shi 5A Fujian Premium
Bai Yang Dian,Natural_Scenery,5A,Bao_Ding_Shi,Hebei,185.0,Premium,11,Natural_Scenery Natural_Scenery Natural_Scenery Bao_Ding_Shi Bao_Ding_Shi 5A Hebei Premium
Bai Yun Shan,Natural_Scenery,5A,Guang_Zhou_Shi,Guangdong,38.03370786516854,Premium,12,Natural_Scenery Natural_Scenery Natural_Scenery Guang_Zhou_Shi Guang_Zhou_Shi 5A Guangdong Premium
Bao Tu Quan,Natural_Scenery,4A,Ji_Nan_Shi,Shandong,40.0,Premium,13,Natural_Scenery Natural_Scenery Natural_Scenery Ji_Nan_Shi Ji_Nan_Shi 4A Shandong Premium
Bei Da Hu Hua Xue Chang,Sports_&_Leisure,4A,Ji_Lin_Shi,Jilin,300.0,Premium,14,Sports_&_Leisure Sports_&_Leisure Sports_&_Leisure Ji_Lin_Shi Ji_Lin_Shi 4A Jilin Premium
