tourist_id,gender,age,age_group,source_province,attraction_name,attraction_category,attraction_level,city,province,ticket_price,visit_date,visit_duration_hours,spend_amount,other_spend,rating,is_group_tour,group_fee,trip_days,main_spots,transport_mode,season,is_holiday,recommendation_level,satisfaction_level
1,Female,67,56+,Beijing,Xuan Kong Si,Religious Culture,4A,Da Tong Shi,Shanxi,125,2023/12/25,6.3,361.52,236.52,4.3,No,,,,,Winter,No,Recommend,Satisfied
2,Male,22,18-25,Heilongjiang,Kai Feng Fu,Historical Culture,4A,Kai Feng Shi,Henan,65,2024/11/14,5.1,65,0,4.8,No,,,,,Autumn,No,Highly Recommend,Very Satisfied
3,Male,60,56+,Fujian,Zhou Zhuang Gu Zhen,Ancient Town,5A,Su Zhou Shi,Jiangsu,100,2022/7/20,6.1,469.27,369.27,4.4,No,,,,,Summer,No,Recommend,Satisfied
4,Female,33,26-35,Ningxia,Zhu Jia Jiao Gu Zhen,Ancient Town,4A,Shanghai,Shanghai,60,2024/9/19,6.8,60,0,3.7,No,,,,,Autumn,No,Recommend,Satisfied
5,Female,59,56+,Jiangxi,Lu Shan,Natural Culture,5A,Jiu Jiang Shi,Jiangxi,160,2024/12/31,2.9,160,0,4.9,No,,,,,Winter,No,Highly Recommend,Very Satisfied
6,Male,22,18-25,Hong Kong,Shang Rao Ji Zhong Ying,Revolutionary Site,4A,Shang Rao Shi,Jiangxi,0,2022/7/15,6.1,432.89,432.89,4.6,No,,,,,Summer,No,Highly Recommend,Very Satisfied
7,Female,25,18-25,Guangxi,Ya Lu Jiang Duan Qiao,Revolutionary Site,4A,Dan Dong Shi,Liaoning,30,2022/5/4,3.4,413.97,383.97,4.3,No,,,,,Chun Ji,No,Recommend,Satisfied
8,Male,54,46-55,Hainan,Bei Da Hu Hua Xue Chang,Sports & Leisure,4A,Ji Lin Shi,Jilin,300,2022/7/1,2.9,318.77,18.77,4.4,No,,,,,Summer,No,Recommend,Satisfied
9,Female,55,46-55,Inner Mongolia,Zhong Guo Xue Xiang,Natural Scenery,4A,Mu Dan Jiang Shi,Heilongjiang,120,2023/9/7,3.6,265.11,145.11,4.2,No,,,,,Autumn,No,Recommend,Satisfied
10,Female,31,26-35,Beijing,Fu Shun He Tu A La Cheng,Historical Culture,4A,Fu Shun Shi,Liaoning,60,2024/3/2,2.5,223.71,163.71,3.8,No,,,,,Chun Ji,Yes,Recommend,Satisfied
11,Male,23,18-25,Hainan,De Tian Pu Bu,Natural Scenery,5A,Chong Zuo Shi,Guangxi,115,2024/11/14,3.4,350.4,235.4,4.7,No,,,,,Autumn,No,Highly Recommend,Very Satisfied
12,Female,58,56+,Tibet,Bei Jing Zhi Wu Yuan,Botanical Garden,4A,Beijing,Beijing,10,2023/6/26,3.5,279.48,269.48,3.9,No,,,,,Summer,No,Recommend,Satisfied
13,Male,63,56+,Qinghai,Shen Yang Shi Bo Yuan,Theme Park,5A,Shen Yang Shi,Liaoning,50,2024/5/21,2.8,314.8,264.8,4.8,No,,,,,Chun Ji,No,Highly Recommend,Very Satisfied
14,Female,35,26-35,Shaanxi,Long Yan Guan Zhi Shan,Natural Scenery,4A,Long Yan Shi,Fujian,115,2024/9/2,2.9,115,0,4.6,No,,,,,Autumn,No,Highly Recommend,Very Satisfied
15,Male,65,56+,Zhejiang,San Xing Dui Yi Zhi,Historical Site,4A,De Yang Shi,Sichuan,80,2024/10/23,1.9,527.08,447.08,4,Yes,6119,2,"Jing Zhou Gu Cheng ,  Mao Ling ,  Tai Yang Dao",Gao Tie + Da Ba,Autumn,Yes,Recommend,Satisfied
16,Female,28,26-35,Yunnan,Jin Si Xia,Natural Scenery,5A,Shang Luo Shi,Shaanxi,100,2022/8/4,7,178.22,78.22,4.5,Yes,918,5,"Ha Er Bin Bing Xue Da Shi Jie ,  Long Wan Qun Guo Jia Sen Lin Gong Yuan ,  Tai Hang Shan Da Xia Gu ,  Chong Sheng Si San Ta ,  Qing Ming Shang He Yuan",Fei Ji + Da Ba,Summer,No,Highly Recommend,Very Satisfied
17,Female,45,36-45,Macau,Ying Hu,Natural Scenery,4A,An Kang Shi,Shaanxi,70,2022/11/26,5.6,70,0,4.6,No,,,,,Autumn,Yes,Highly Recommend,Very Satisfied
18,Female,63,56+,Hebei,Bei Jing Zhi Wu Yuan,Botanical Garden,4A,Beijing,Beijing,10,2024/10/24,1.9,101.17,91.17,3.7,Yes,1069,1,"Luo Fu Shan ,  Ya Lu Jiang Duan Qiao ,  Cha Gan Hu",Fei Ji + Da Ba,Autumn,Yes,Recommend,Satisfied
19,Male,65,56+,Guangxi,Da Lian Xing Hai Guang Chang,Urban Landscape,4A,Da Lian Shi,Liaoning,0,2023/9/4,2.3,0,0,4.2,No,,,,,Autumn,No,Recommend,Satisfied
20,Female,26,26-35,Jiangxi,Wu Song Dao,Zi Ran Qi Guan,4A,Ji Lin Shi,Jilin,60,2023/1/30,1.2,60,0,4,Yes,2932,2,"Nan Yue Heng Shan ,  Lu Gu Hu ( Yun Nan Bu Fen ),  Da Qing Tie Ren Ji Nian Guan ,  Ning De Yuan Yang Xi ,  Tai Hang Shan Da Xia Gu",Fei Ji + Da Ba,Winter,Yes,Recommend,Satisfied
21,Male,47,46-55,Sichuan,Zha Long Zi Ran Bao Hu Qu,Natural Scenery,4A,Qi Qi Ha Er Shi,Heilongjiang,65,2023/5/8,1.9,65,0,4.6,Yes,1499,1,"Lao Jun Shan ,  Da Qing Tie Ren Ji Nian Guan ,  Gu Lang Yu",Gao Tie + Da Ba,Chun Ji,No,Highly Recommend,Very Satisfied
22,Female,54,46-55,Anhui,Lai Bin Jin Xiu Sheng Tang Shan,Natural Scenery,4A,Lai Bin Shi,Guangxi,65,2024/2/5,3.5,65,0,4.4,Yes,742,5,"Mei Zhou Dao ,  Hu Kou Pu Bu ,  Dong Guan Ke Yuan",Kong Tiao Da Ba,Winter,Yes,Recommend,Satisfied
23,Female,33,26-35,Tianjin,Zhang Zhou Dong Shan Dao,Natural Scenery,4A,Zhang Zhou Shi,Fujian,60,2022/6/25,3.5,60,0,4.7,No,,,,,Summer,Yes,Highly Recommend,Very Satisfied
24,Female,50,46-55,Hunan,Fu Shun He Tu A La Cheng,Historical Culture,4A,Fu Shun Shi,Liaoning,60,2024/5/9,3.5,422.15,362.15,4.1,No,,,,,Chun Ji,No,Recommend,Satisfied
25,Male,67,56+,Inner Mongolia,Shao Lin Si,Religious Culture,5A,Zheng Zhou Shi,Henan,100,2022/12/30,2.3,100,0,3.9,No,,,,,Winter,No,Recommend,Satisfied
26,Female,55,46-55,Shanxi,Hang Zhou Xi Xi Shi Di,Natural Scenery,5A,Hang Zhou Shi,Zhejiang,80,2023/12/14,4.1,163.2,83.2,4.4,No,,,,,Winter,No,Recommend,Satisfied
27,Female,54,46-55,Anhui,Chang Chun Shi Jie Diao Su Yuan,Wen Hua Yi Shu,5A,Chang Chun Shi,Jilin,30,2025/3/27,2.2,272.27,242.27,4.1,No,,,,,Chun Ji,No,Recommend,Satisfied
28,Male,43,36-45,Jilin,Fen Jie Zhou Dao,Natural Scenery,5A,Ling Shui Xian,Hainan,132,2022/12/23,4.4,132,0,4.7,No,,,,,Winter,No,Highly Recommend,Very Satisfied
29,Male,29,26-35,Shanxi,Xiang Ge Li La,Natural Culture,5A,Di Qing Zhou,Yunnan,0,2023/2/2,2.8,364.22,364.22,4.2,Yes,1896,4,"Da Lian Sen Lin Dong Wu Yuan ,  Bei Jing Zhi Wu Yuan ,  Tai Yang Dao",Fei Ji + Da Ba,Winter,Yes,Recommend,Satisfied
30,Male,28,26-35,Xinjiang,Hua Qing Gong,Historical Culture,5A,Xi An Shi,Shaanxi,120,2023/9/4,3.2,542.83,422.83,4.3,No,,,,,Autumn,No,Recommend,Satisfied
31,Female,59,56+,Macau,Shi Jie Gong Yuan,Theme Park,4A,Beijing,Beijing,100,2023/11/1,7.6,100,0,4.3,Yes,2708,2,"Lai Bin Jin Xiu Sheng Tang Shan ,  Shang Hai Da Guan Yuan ,  Wan Nian Bing Dong",Gao Tie + Da Ba,Autumn,No,Recommend,Satisfied
32,Male,26,26-35,Shanxi,Xuan Kong Si,Religious Culture,4A,Da Tong Shi,Shanxi,125,2023/1/24,1,190.3,65.3,3.6,No,,,,,Winter,Yes,Recommend,Satisfied
33,Female,54,46-55,Qinghai,Xiao Gan Shuang Feng Shan,Natural Scenery,4A,Xiao Gan Shi,Hubei,45,2025/1/5,1.9,524.51,479.51,4.7,Yes,5048,2,"Yuan Tou Zhu ,  Shen Zhen Shi Jie Zhi Chuang ,  Long Men Shi Ku ,  Tai Ji Dong ,  Chang Sha Shi Jie Zhi Chuang",Gao Tie + Da Ba,Winter,Yes,Highly Recommend,Very Satisfied
34,Male,59,56+,Hunan,Tong Ling Tian Jing Hu,Natural Scenery,4A,Tong Ling Shi,Anhui,0,2024/1/14,4.8,114.2,114.2,3.8,No,,,,,Winter,Yes,Recommend,Satisfied
35,Male,52,46-55,Tibet,Qu Fu San Kong,Historical Culture,5A,Ji Ning Shi,Shandong,140,2022/5/15,4.2,160.87,20.87,4.5,Yes,4208,1,"Hei He Ai Hui Gu Cheng ,  Tian Zhu Shan ,  Tang Shan Nan Hu ,  Wei Fang Qing Zhou Gu Cheng ,  Shen Zhen Shi Jie Zhi Chuang",Fei Ji + Da Ba,Chun Ji,Yes,Highly Recommend,Very Satisfied
36,Male,37,36-45,Beijing,Qi Tai He Bo Li Xi Da Quan,Natural Scenery,4A,Qi Tai He Shi,Heilongjiang,30,2025/3/8,2,117.54,87.54,4.7,No,,,,,Chun Ji,Yes,Highly Recommend,Very Satisfied
37,Female,19,18-25,Inner Mongolia,Xi An Zhong Gu Lou,Historical Architecture,4A,Xi An Shi,Shaanxi,50,2023/11/12,6.5,50,0,4.6,Yes,1973,5,"Mei Zhou Dao ,  Yan An Ge Ming Ji Nian Guan ,  Huang Long ,  Tian Zhu Shan",Gao Tie + Da Ba,Autumn,Yes,Highly Recommend,Very Satisfied
38,Female,58,56+,Macau,Gui Lin Liang Jiang Si Hu,Natural Scenery,5A,Gui Lin Shi,Guangxi,190,2024/2/21,2.9,266.04,76.04,4.6,No,,,,,Winter,Yes,Highly Recommend,Very Satisfied
39,Female,50,46-55,Inner Mongolia,Lao Jun Shan,Natural Culture,5A,Luo Yang Shi,Henan,100,2022/5/25,4.4,100,0,4.7,No,,,,,Chun Ji,No,Highly Recommend,Very Satisfied
40,Female,29,26-35,Shanxi,Da Qing Tie Ren Ji Nian Guan,Revolutionary Site,4A,Da Qing Shi,Heilongjiang,0,2023/5/3,1.6,356.4,356.4,3.9,Yes,1065,3,"Lang Zhong Gu Cheng ,  Yun Cheng Yan Hu ,  He Chi Ba Ma Chang Shou Cun ,  Lu Gu Hu ( Yun Nan Bu Fen )",Kong Tiao Da Ba,Chun Ji,No,Recommend,Satisfied
41,Male,60,56+,Qinghai,Qu Zhou Jiang Lang Shan,Natural Scenery,5A,Qu Zhou Shi,Zhejiang,100,2022/10/22,5.2,100,0,4.9,No,,,,,Autumn,Yes,Highly Recommend,Very Satisfied
42,Female,18,18-25,Ningxia,E Mei Shan,Natural Culture,5A,Le Shan Shi,Sichuan,160,2023/7/28,2.7,517.45,357.45,4.4,Yes,981,4,"Qing Yuan Shan ,  Jin Shan Ling Chang Cheng ,  Si Gu Niang Shan ,  Yan Men Guan",Gao Tie + Da Ba,Summer,No,Recommend,Satisfied
43,Male,60,56+,Hainan,Chang Bai Shan,Natural Scenery,5A,Yan Bian Zhou,Jilin,125,2024/2/4,4.6,125,0,4.4,Yes,670,3,"Fu Shun He Tu A La Cheng ,  Lu Gu Hu ( Yun Nan Bu Fen ),  Long Yan Guan Zhi Shan ,  Da Xing An Ling Mo He Bei Ji Cun ,  Lai Bin Jin Xiu Sheng Tang Shan ,  Mu Lan Wen Hua Sheng Tai Lv You Qu",Kong Tiao Da Ba,Winter,Yes,Recommend,Satisfied
44,Female,56,56+,Jiangxi,Jian Men Guan,Historical Culture,5A,Guang Yuan Shi,Sichuan,105,2024/1/23,5.6,463.79,358.79,5,No,,,,,Winter,Yes,Highly Recommend,Very Satisfied
45,Male,34,26-35,Ningxia,Qian Shan,Natural Scenery,5A,An Shan Shi,Liaoning,80,2023/3/18,6.1,471.89,391.89,4.6,No,,,,,Chun Ji,Yes,Highly Recommend,Very Satisfied
46,Male,58,56+,Guangdong,Yang Shuo Xi Jie,Ancient Town,4A,Gui Lin Shi,Guangxi,0,2022/10/16,7.9,117.63,117.63,3.6,No,,,,,Autumn,Yes,Recommend,Satisfied
47,Female,64,56+,Guangxi,Yue Lu Shan,Natural Culture,5A,Chang Sha Shi,Hunan,0,2022/10/28,2.7,0,0,4.8,No,,,,,Autumn,Yes,Highly Recommend,Very Satisfied
48,Female,21,18-25,Tibet,Zhong Guo Xue Xiang,Natural Scenery,4A,Mu Dan Jiang Shi,Heilongjiang,120,2023/4/10,3,120,0,4.1,Yes,1168,2,"Ji Gong Shan ,  E Mei Shan ,  Yun Cheng Yan Hu ,  Tai Er Zhuang Gu Cheng ,  Huang Cheng Xiang Fu ,  Fu Jian Tu Lou",Gao Tie + Da Ba,Chun Ji,No,Recommend,Satisfied
49,Male,23,18-25,Beijing,Qi Tai He Bo Li Xi Da Quan,Natural Scenery,4A,Qi Tai He Shi,Heilongjiang,30,2023/11/29,4.2,30,0,4.9,No,,,,,Autumn,No,Highly Recommend,Very Satisfied
50,Male,19,18-25,Liaoning,Shen Zhen Dong Bu Hua Qiao Cheng,Theme Park,5A,Shen Zhen Shi,Guangdong,180,2024/10/5,6.2,403.96,223.96,4.6,No,,,,,Autumn,Yes,Highly Recommend,Very Satisfied
51,Female,43,36-45,Shanxi,Tai Yuan Fen He Gong Yuan,Cheng Shi Gong Yuan,4A,Tai Yuan Shi,Shanxi,0,2024/9/20,2.1,444.34,444.34,4.7,No,,,,,Autumn,No,Highly Recommend,Very Satisfied
52,Male,54,46-55,Jilin,Sui Hua Jin Gui Shan Zhuang,Natural Scenery,4A,Sui Hua Shi,Heilongjiang,50,2025/1/24,7.6,384.29,334.29,4.6,No,,,,,Winter,Yes,Highly Recommend,Very Satisfied
53,Male,42,36-45,Qinghai,He Chi Ba Ma Chang Shou Cun,Min Su Wen Hua,4A,He Chi Shi,Guangxi,0,2023/12/19,2.9,264.98,264.98,3.7,No,,,,,Winter,No,Recommend,Satisfied
54,Male,70,56+,Shanxi,Tian Tang Zhai,Natural Scenery,5A,Lu An Shi,Anhui,115,2022/8/6,4.4,408.36,293.36,5,No,,,,,Summer,Yes,Highly Recommend,Very Satisfied
55,Female,31,26-35,Tianjin,Hei He Ai Hui Gu Cheng,Historical Culture,4A,Hei He Shi,Heilongjiang,50,2023/5/25,6.6,491.15,441.15,4.3,Yes,4208,1,"Hei He Ai Hui Gu Cheng ,  Tian Zhu Shan ,  Tang Shan Nan Hu ,  Wei Fang Qing Zhou Gu Cheng ,  Shen Zhen Shi Jie Zhi Chuang",Fei Ji + Da Ba,Chun Ji,No,Recommend,Satisfied
56,Female,29,26-35,Hunan,Da Lian Lao Hu Tan Hai Yang Gong Yuan,Theme Park,5A,Da Lian Shi,Liaoning,220,2023/2/26,7.6,220,0,5,No,,,,,Winter,Yes,Highly Recommend,Very Satisfied
57,Female,29,26-35,Guangdong,Gui Feng,Natural Scenery,5A,Shang Rao Shi,Jiangxi,60,2023/3/30,2.6,60,0,5,No,,,,,Chun Ji,No,Highly Recommend,Very Satisfied
58,Male,54,46-55,Guizhou,Dan Xia Shan,Natural Scenery,5A,Shao Guan Shi,Guangdong,100,2024/5/2,4,100,0,4.9,No,,,,,Chun Ji,No,Highly Recommend,Very Satisfied
